category_slug,product_count,products_with_images,products_without_images,products_with_dimensions,products_with_stocked_quantity,custom_order_count,avg_confidence,manual_review_count
accents1,46,46,0,1,14,0,0.867,0
bars1,32,32,0,26,32,32,0.981,0
benches-ottomans1,27,27,0,12,27,26,0.944,0
chairs-stools1,37,37,0,30,37,37,0.981,0
cocktail-bar,60,59,1,47,53,0,0.967,1
dining,18,18,0,14,16,0,0.972,0
large-decor,26,26,0,17,21,0,0.956,0
light,48,48,0,10,41,0,0.914,0
lounge,86,86,0,75,85,0,0.987,0
lounge-tables,49,49,0,32,48,0,0.964,0
pillows-throws1,44,44,0,1,1,0,0.852,44
rugs,26,26,0,0,26,0,0.900,0
sofas-loveseats1,24,24,0,21,24,24,0.988,0
storage1,8,8,0,6,8,7,0.975,0
styling,60,60,0,27,43,0,0.931,0
tables1,50,50,0,31,50,46,0.962,0
tableware,79,79,0,15,36,0,0.892,0
textiles,157,157,0,4,155,0,0.902,0
